date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01 00:00:00,22.3,18.3,27,0,,,6,,1013.9,
2022-01-02 00:00:00,21.5,17.1,27,2.3,,,5.5,,1014.5,
2022-01-03 00:00:00,22.3,18.3,27.5,0,,,7.6,,1015.8,
2022-01-04 00:00:00,22.3,19,26.8,0,,,6.1,,1013.5,
2022-01-05 00:00:00,21.8,17.9,27,0,,,7.2,,1012.2,
2022-01-06 00:00:00,21.6,17.7,27,0,,,6.8,,1013.2,
2022-01-07 00:00:00,19.5,15.6,23,0.2,,,5.3,,1015.1,
2022-01-08 00:00:00,20.1,16.1,26,1.7,,,6,,1016.4,
2022-01-09 00:00:00,21.8,15.7,26.4,0.3,,,6.2,,1016.1,
2022-01-10 00:00:00,21.7,15.9,26.6,0,,,6.1,,1015.3,
2022-01-11 00:00:00,21,16.3,26.5,0,,,6.3,,1015.9,
2022-01-12 00:00:00,19.8,15,25.1,7.2,,,7.7,,1015.8,
2022-01-13 00:00:00,21.2,15.9,26.5,8,,,6.4,,1016.5,
2022-01-14 00:00:00,20.1,16.6,25.5,5.1,,,5.3,,1016.7,
2022-01-15 00:00:00,20.6,16.1,26.2,3.5,,,6.6,,1016.7,
2022-01-16 00:00:00,21,15.5,27,1.7,,,7.1,,1015.8,
2022-01-17 00:00:00,20.8,15.8,26,3.8,,,6,,1015.5,
2022-01-18 00:00:00,21.9,19,26.2,0.5,,,7.3,,1015,
2022-01-19 00:00:00,21.3,15.8,26.6,0.3,,,5.9,,1013.9,
2022-01-20 00:00:00,21.9,15.6,28.2,0.1,,,5.7,,1013.3,
2022-01-21 00:00:00,24,19.8,29.3,0,,,7.8,,1012.8,
2022-01-22 00:00:00,23.1,19.9,28.3,0.3,,,5.6,,1013.8,
2022-01-23 00:00:00,21.4,16.8,26.4,1.6,,,6.8,,1013.2,
2022-01-24 00:00:00,22.8,19.8,27.2,0,,,7.4,,1012.7,
2022-01-25 00:00:00,21.2,16.9,26.3,3.8,,,5.6,,1013.7,
2022-01-26 00:00:00,22.3,15.7,27.2,0,,,6.3,,1014.2,
2022-01-27 00:00:00,22.4,18.5,27.2,52.3,,,6.4,,1014.7,
2022-01-28 00:00:00,22.4,18.1,26.4,0,,,6.9,,1014.7,
2022-01-29 00:00:00,21.3,16.1,27.4,24.9,,,6,,1015.5,
2022-01-30 00:00:00,21.2,17.1,25.4,0,,,7.3,,1015.9,
2022-01-31 00:00:00,19.9,16.1,24,8.1,,,7,,1014.9,
2022-02-01 00:00:00,21.1,16.7,25.2,0,,,4.4,,1014.3,
2022-02-02 00:00:00,21.1,15.5,27,0.4,,,5.6,,1013.6,
