Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,42,sin_control,False,False,1
9998,0,2,0,1856,2786,4642,16636,21.5,2.3,0,False,False,42,sin_control,False,False,1
9997,1,2,0,1709,2563,4272,24410,22.3,0.0,0,False,False,42,sin_control,False,False,1
9997,1,2,0,1601,2382,3983,27987,22.3,0.0,0,False,False,42,sin_control,False,False,1
9997,1,2,0,1487,2235,3722,28877,21.8,0.0,0,False,False,42,sin_control,False,False,1
9997,1,2,0,1381,2072,3453,29373,21.6,0.0,0,False,False,42,sin_control,False,False,1
9997,0,3,0,1294,1931,3225,28587,19.5,0.2,0,False,False,42,sin_control,False,False,1
9997,0,3,0,1201,1790,2991,28052,20.1,1.7,0,False,False,42,sin_control,False,False,1
9997,0,1,2,1116,1648,2764,26597,21.8,0.3,0,False,False,42,sin_control,False,False,1
9996,1,1,2,1028,1532,2560,24554,21.7,0.0,0,False,False,42,sin_control,False,False,1
9994,3,1,2,974,1398,2372,22671,21.0,0.0,0,False,False,42,sin_control,False,False,1
9994,3,1,2,903,1306,2209,21621,19.8,7.2,3,False,False,42,sin_control,False,False,1
9994,3,1,2,841,1209,2050,23479,21.2,8.0,7,False,False,42,sin_control,False,False,1
9994,2,2,2,771,1127,1898,23749,20.1,5.1,9,False,False,42,sin_control,False,False,1
9994,0,3,3,708,1022,1730,23782,20.6,3.5,9,False,False,42,sin_control,False,False,1
9994,0,3,3,665,958,1623,25979,21.0,1.7,9,False,False,42,sin_control,False,False,1
9994,0,3,3,647,883,1530,26946,20.8,3.8,9,False,False,42,sin_control,False,False,1
9994,0,3,3,640,828,1468,27913,21.9,0.5,9,False,False,42,sin_control,False,False,1
9994,0,3,3,645,790,1435,26148,21.3,0.3,9,False,False,42,sin_control,False,False,1
9994,0,3,3,665,755,1420,24530,21.9,0.1,6,False,False,42,sin_control,False,False,1
9994,0,3,3,706,705,1411,19198,24.0,0.0,2,False,False,42,sin_control,False,False,1
9993,1,2,4,873,691,1564,17284,23.1,0.3,0,False,False,42,sin_control,False,False,1
9993,1,0,6,917,677,1594,15550,21.4,1.6,0,False,False,42,sin_control,False,False,1
9993,1,0,6,936,651,1587,14806,22.8,0.0,0,False,False,42,sin_control,False,False,1
9992,2,0,6,949,626,1575,13897,21.2,3.8,0,False,False,42,sin_control,False,False,1
9992,1,1,6,993,592,1585,14137,22.3,0.0,0,False,False,42,sin_control,False,False,1
9992,1,1,6,995,658,1653,17210,22.4,52.3,26,False,False,42,sin_control,False,False,1
9992,1,1,6,988,626,1614,20193,22.4,0.0,26,False,False,42,sin_control,False,False,1
9992,0,2,6,991,612,1603,22163,21.3,24.9,38,False,False,42,sin_control,False,False,1
9992,0,2,6,1008,574,1582,24080,21.2,0.0,38,False,False,42,sin_control,False,False,1
9992,0,2,6,995,545,1540,25399,19.9,8.1,42,False,False,42,sin_control,False,False,1
9992,0,2,6,986,507,1493,26358,21.1,0.0,42,False,False,42,sin_control,False,False,1
9991,1,2,6,981,479,1460,26960,21.1,0.4,42,False,False,42,sin_control,False,False,1
9991,1,1,7,982,450,1432,27937,23.0,0.0,42,False,False,42,sin_control,False,False,1
9991,1,1,7,986,436,1422,28533,22.4,0.0,16,False,False,42,sin_control,False,False,1
9991,1,1,7,1081,425,1506,26754,21.6,9.9,20,False,False,42,sin_control,False,False,1
9991,0,1,8,1167,401,1568,25728,21.2,0.8,8,False,False,42,sin_control,False,False,1
9991,0,1,8,1316,490,1806,27179,20.1,50.0,33,False,False,42,sin_control,False,False,1
9991,0,1,8,1531,491,2022,29797,19.9,7.5,32,False,False,42,sin_control,False,False,1
9991,0,1,8,1406,463,1869,31554,19.6,21.2,42,False,False,42,sin_control,False,False,1
9992,0,1,7,1691,471,2162,33257,21.3,0.0,42,False,False,42,sin_control,False,False,1
9992,0,1,7,1861,543,2404,36113,21.0,2.4,42,False,False,42,sin_control,False,False,1
9992,0,1,7,2125,544,2669,38537,22.8,0.0,42,False,False,42,sin_control,False,False,1
9992,0,1,7,2760,605,3365,42653,22.9,0.0,38,False,False,42,sin_control,False,False,1
9991,1,0,8,2957,610,3567,47609,20.7,5.5,40,False,False,42,sin_control,False,False,1
9990,2,0,8,3170,615,3785,52399,21.7,2.0,15,False,False,42,sin_control,False,False,1
9990,2,0,8,3340,621,3961,53352,21.2,1.0,12,False,False,42,sin_control,False,False,1
9990,2,0,8,3480,627,4107,54595,23.2,0.0,2,False,False,42,sin_control,False,False,1
9990,1,1,8,3589,611,4200,56305,22.7,7.2,5,False,False,42,sin_control,False,False,1
9990,1,2,7,3657,602,4259,57085,21.7,2.0,5,False,False,42,sin_control,False,False,1
9990,1,2,7,3767,594,4361,61933,20.6,10.9,10,False,False,42,sin_control,False,False,1
9990,1,2,7,3829,611,4440,62595,20.8,1.2,10,False,False,42,sin_control,False,False,1
9990,1,2,7,4005,586,4591,62394,22.5,0.0,8,False,False,42,sin_control,False,False,1
9990,0,3,7,4069,578,4647,68391,22.8,5.8,10,False,False,42,sin_control,False,False,1
9990,0,3,7,4154,561,4715,72494,21.4,16.4,18,False,False,42,sin_control,False,False,1
9990,0,3,7,4310,547,4858,76942,21.5,7.8,21,False,False,42,sin_control,False,False,1
9990,1,2,7,4447,518,4966,80758,22.8,0.0,18,False,False,42,sin_control,False,False,1
9990,1,1,8,4780,590,5372,85430,20.5,49.0,42,False,False,42,sin_control,False,False,1
9990,1,1,8,5159,576,5737,89406,20.5,8.9,41,False,False,42,sin_control,False,False,1
9990,1,1,8,5556,555,6113,95328,21.3,8.3,45,False,False,42,sin_control,False,False,1
9990,0,2,8,6037,553,6592,98375,20.0,18.6,54,False,False,42,sin_control,False,False,1
9990,0,1,9,6541,583,7126,101702,20.5,8.3,56,False,False,42,sin_control,False,False,1
9990,0,1,9,7070,577,7649,108970,20.6,5.0,50,False,False,42,sin_control,False,False,1
9989,1,1,9,7658,558,8216,118267,21.6,0.8,47,False,False,42,sin_control,False,False,1
9989,1,1,9,8161,541,8702,127172,20.7,5.1,49,False,False,42,sin_control,False,False,1
9989,1,1,9,7550,500,8050,134238,20.2,14.0,32,False,False,42,sin_control,False,False,1
9989,1,1,9,8100,500,8600,140187,20.4,3.3,28,False,False,42,sin_control,False,False,1
9989,0,2,9,8729,502,9231,147780,21.8,0.0,24,False,False,42,sin_control,False,False,1
9988,1,1,10,9359,507,9866,155522,21.1,0.0,15,False,False,42,sin_control,False,False,1
9988,1,1,10,9861,517,10378,163806,22.1,4.1,11,False,False,42,sin_control,False,False,1
9988,1,1,10,10468,519,10988,173247,21.1,11.0,14,False,False,42,sin_control,False,False,1
9988,1,1,10,11017,509,11527,183811,21.4,0.8,14,False,False,42,sin_control,False,False,1
9988,0,2,10,11599,552,12152,180319,21.7,0.3,12,False,False,42,sin_control,False,False,1
9988,0,2,10,12018,562,12581,192229,20.9,17.0,13,False,False,42,sin_control,False,False,1
9988,0,2,10,12553,542,13097,205003,22.7,0.0,13,False,False,42,sin_control,False,False,1
9988,0,1,11,13367,566,13936,217076,21.0,1.5,13,False,False,42,sin_control,False,False,1
9987,1,1,11,16692,611,17304,236249,22.6,0.0,13,False,False,42,sin_control,False,False,1
9987,1,1,11,18050,622,18673,241025,21.8,4.3,13,False,False,42,sin_control,False,False,1
9987,1,1,11,19277,720,19998,267896,22.6,50.0,33,False,False,42,sin_control,False,False,1
9986,2,1,11,20204,708,20913,293127,21.4,3.9,33,False,False,42,sin_control,False,False,1
9986,1,1,12,21126,715,21841,316548,21.7,2.4,33,False,False,42,sin_control,False,False,1
9986,1,1,12,22239,693,22932,339474,23.9,0.0,25,False,False,42,sin_control,False,False,1
9986,1,1,12,23457,675,24132,365151,21.7,4.5,25,False,False,42,sin_control,False,False,1
9986,0,2,12,24711,671,25382,389278,22.8,1.0,25,False,False,42,sin_control,False,False,1
9986,0,2,12,26084,680,26770,416045,22.3,7.1,28,False,False,42,sin_control,False,False,1
9986,0,2,12,27609,678,28292,412299,21.6,0.0,28,False,False,42,sin_control,False,False,1
9986,0,2,12,29091,674,29769,445523,20.8,13.9,9,False,False,42,sin_control,False,False,1
9986,0,2,12,30577,684,31267,477288,21.2,15.5,16,False,False,42,sin_control,False,False,1
9987,0,1,12,32239,661,32909,507314,22.0,0.8,16,False,False,42,sin_control,False,False,1
9987,0,1,12,33907,648,34564,539343,21.8,0.0,16,False,False,42,sin_control,False,False,1
9987,0,1,12,36423,670,37105,574591,22.1,3.0,16,False,False,42,sin_control,False,False,1
9987,0,0,13,39943,684,40637,614958,21.9,19.7,25,False,False,42,sin_control,False,False,1
9987,0,0,13,43490,748,44244,660346,21.7,11.8,27,False,False,42,sin_control,False,False,1
9987,0,0,13,47016,863,47885,679907,21.3,61.0,57,False,False,42,sin_control,False,False,1
9987,0,0,13,50190,878,51072,706932,21.4,4.0,51,False,False,42,sin_control,False,False,1
9987,0,0,13,53090,858,53951,773714,22.7,0.0,44,False,False,42,sin_control,False,False,1
9986,1,0,13,56360,851,57212,800558,21.2,19.1,53,False,False,42,sin_control,False,False,1
9986,1,0,13,59167,849,60016,832611,22.2,8.9,57,False,False,42,sin_control,False,False,1
9986,1,0,13,61901,854,62755,865617,21.6,23.7,68,False,False,42,sin_control,False,False,1
9986,1,0,13,65222,859,66081,905635,23.0,0.0,59,False,False,42,sin_control,False,False,1
9986,0,1,13,68234,861,69095,990345,23.2,0.0,54,False,False,42,sin_control,False,False,1
9986,0,1,13,71343,860,72204,1068193,21.8,4.7,24,False,False,42,sin_control,False,False,1
9986,0,1,13,74441,837,75281,1144362,21.7,1.7,24,False,False,42,sin_control,False,False,1
9985,1,1,13,77802,933,78738,1219304,23.3,52.3,50,False,False,42,sin_control,False,False,1
9985,1,1,13,81632,923,82561,1293709,23.2,0.0,41,False,False,42,sin_control,False,False,1
9985,1,1,13,86050,910,86966,1371126,22.4,8.7,41,False,False,42,sin_control,False,False,1
9986,1,1,12,91148,913,92068,1451921,20.4,2.0,30,False,False,42,sin_control,False,False,1
9986,0,2,12,97284,973,98265,1543246,21.5,4.1,30,False,False,42,sin_control,False,False,1
9986,0,1,13,104686,986,105679,1644146,19.4,0.0,30,False,False,42,sin_control,False,False,1
9986,0,1,13,112962,1012,113979,1754436,20.3,19.1,39,False,False,42,sin_control,False,False,1
9986,0,1,13,121723,1074,122801,1876498,20.2,37.1,57,False,False,42,sin_control,False,False,1
9986,0,1,13,132096,1118,133217,1928078,19.0,31.1,46,False,False,42,sin_control,False,False,1
9986,0,1,13,142447,1136,143587,2087192,20.3,1.8,46,False,False,42,sin_control,False,False,1
9986,0,1,13,154623,1126,155753,2261866,21.9,0.0,42,False,False,42,sin_control,False,False,1
9986,0,1,13,142923,1030,143956,2388562,19.7,4.7,42,False,False,42,sin_control,False,False,1
9985,1,0,14,152559,1039,153601,2398923,21.0,8.6,46,False,False,42,sin_control,False,False,1
9985,1,0,14,160897,1022,161922,2543200,22.9,0.0,46,False,False,42,sin_control,False,False,1
9986,1,0,13,169640,1006,170649,2698009,20.6,2.0,37,False,False,42,sin_control,False,False,1
