run_id,seed,estrategia,usar_lsm,usar_itn_irs,total_infectados,total_recuperados,pico_infectados,dia_pico,mosquitos_finales,mosquitos_infectados_finales,tasa_ataque
1,42,sin_control,False,False,2,12,7,128,2881349,71,0.13999999999999999
2,42,lsm,True,False,0,2,4,17,21,4,0.02
3,42,itn_irs,False,True,0,8,3,7,1173670,69,0.08
4,42,ambas,True,True,0,1,3,7,27,9,0.01
5,123,sin_control,False,False,0,19,4,12,2882618,72,0.19
6,123,lsm,True,False,0,4,3,9,17,4,0.04
7,123,itn_irs,False,True,0,5,2,0,1287295,96,0.05
8,123,ambas,True,True,0,1,2,0,13,2,0.01
9,456,sin_control,False,False,1,18,10,129,2936435,95,0.19
10,456,lsm,True,False,0,2,3,5,24,6,0.02
11,456,itn_irs,False,True,0,6,3,5,1160159,87,0.06
12,456,ambas,True,True,0,0,3,5,29,4,0.0
13,789,sin_control,False,False,0,14,5,143,2880815,73,0.13999999999999999
14,789,lsm,True,False,0,3,3,7,29,8,0.03
15,789,itn_irs,False,True,0,6,3,7,1133531,72,0.06
16,789,ambas,True,True,0,0,3,7,17,1,0.0
