,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,123,sin_control,False,False,5
1,9998,0,2,0,1858,2788,4646,16872,21.5,2.3,0,False,False,123,sin_control,False,False,5
2,9998,0,2,0,1719,2575,4294,24184,22.3,0.0,0,False,False,123,sin_control,False,False,5
3,9998,0,2,0,1571,2380,3951,28180,22.3,0.0,0,False,False,123,sin_control,False,False,5
4,9997,1,2,0,1445,2212,3658,29453,21.8,0.0,0,False,False,123,sin_control,False,False,5
5,9995,3,2,0,1339,2033,3373,29745,21.6,0.0,0,False,False,123,sin_control,False,False,5
6,9995,3,2,0,1233,1876,3110,29444,19.5,0.2,0,False,False,123,sin_control,False,False,5
7,9995,3,2,0,1137,1731,2869,26877,20.1,1.7,0,False,False,123,sin_control,False,False,5
8,9994,3,1,2,1063,1609,2673,25790,21.8,0.3,0,False,False,123,sin_control,False,False,5
9,9994,1,3,2,964,1492,2457,24129,21.7,0.0,0,False,False,123,sin_control,False,False,5
10,9994,1,3,2,893,1353,2247,22267,21.0,0.0,0,False,False,123,sin_control,False,False,5
11,9994,1,3,2,819,1265,2085,20678,19.8,7.2,3,False,False,123,sin_control,False,False,5
12,9994,0,4,2,761,1160,1922,22358,21.2,8.0,7,False,False,123,sin_control,False,False,5
13,9994,0,4,2,718,1069,1788,23251,20.1,5.1,9,False,False,123,sin_control,False,False,5
14,9994,0,4,2,666,1000,1666,23100,20.6,3.5,9,False,False,123,sin_control,False,False,5
15,9994,0,4,2,617,938,1555,24918,21.0,1.7,9,False,False,123,sin_control,False,False,5
16,9994,0,3,3,624,862,1486,26112,20.8,3.8,9,False,False,123,sin_control,False,False,5
17,9994,0,1,5,635,798,1433,26489,21.9,0.5,9,False,False,123,sin_control,False,False,5
18,9994,0,1,5,666,757,1423,24661,21.3,0.3,9,False,False,123,sin_control,False,False,5
19,9994,0,1,5,699,720,1419,23708,21.9,0.1,6,False,False,123,sin_control,False,False,5
20,9993,1,0,6,731,688,1419,19781,24.0,0.0,2,False,False,123,sin_control,False,False,5
21,9993,1,0,6,858,665,1523,17034,23.1,0.3,0,False,False,123,sin_control,False,False,5
22,9993,1,0,6,906,643,1549,15355,21.4,1.6,0,False,False,123,sin_control,False,False,5
23,9993,1,0,6,934,623,1557,14881,22.8,0.0,0,False,False,123,sin_control,False,False,5
24,9993,0,1,6,932,598,1530,14853,21.2,3.8,0,False,False,123,sin_control,False,False,5
25,9993,0,1,6,949,565,1514,14589,22.3,0.0,0,False,False,123,sin_control,False,False,5
26,9993,0,1,6,945,625,1570,17425,22.4,52.3,26,False,False,123,sin_control,False,False,5
27,9993,0,1,6,965,584,1549,19779,22.4,0.0,26,False,False,123,sin_control,False,False,5
28,9993,0,1,6,962,565,1527,21480,21.3,24.9,38,False,False,123,sin_control,False,False,5
29,9993,0,1,6,951,534,1485,23138,21.2,0.0,38,False,False,123,sin_control,False,False,5
30,9992,1,1,6,939,505,1444,24152,19.9,8.1,42,False,False,123,sin_control,False,False,5
31,9992,1,1,6,925,476,1401,26050,21.1,0.0,42,False,False,123,sin_control,False,False,5
32,9992,1,0,7,913,452,1365,27383,21.1,0.4,42,False,False,123,sin_control,False,False,5
33,9992,1,0,7,914,442,1356,28375,23.0,0.0,42,False,False,123,sin_control,False,False,5
34,9992,0,1,7,944,424,1368,28443,22.4,0.0,16,False,False,123,sin_control,False,False,5
35,9992,0,1,7,1004,419,1423,26877,21.6,9.9,20,False,False,123,sin_control,False,False,5
36,9992,0,1,7,1079,414,1493,25366,21.2,0.8,8,False,False,123,sin_control,False,False,5
37,9991,1,1,7,1240,523,1763,27192,20.1,50.0,33,False,False,123,sin_control,False,False,5
38,9991,1,1,7,1481,530,2011,29728,19.9,7.5,32,False,False,123,sin_control,False,False,5
39,9991,1,1,7,1385,498,1883,31139,19.6,21.2,42,False,False,123,sin_control,False,False,5
40,9991,1,1,7,1650,506,2156,33558,21.3,0.0,42,False,False,123,sin_control,False,False,5
41,9992,0,2,6,1816,587,2403,36362,21.0,2.4,42,False,False,123,sin_control,False,False,5
42,9991,1,1,7,2025,594,2619,38771,22.8,0.0,42,False,False,123,sin_control,False,False,5
43,9991,1,1,7,2611,644,3255,43265,22.9,0.0,38,False,False,123,sin_control,False,False,5
44,9990,2,1,7,2803,640,3443,47932,20.7,5.5,40,False,False,123,sin_control,False,False,5
45,9990,2,1,7,3068,630,3698,52610,21.7,2.0,15,False,False,123,sin_control,False,False,5
46,9990,1,2,7,3285,635,3920,53301,21.2,1.0,12,False,False,123,sin_control,False,False,5
47,9990,1,2,7,3439,648,4087,53637,23.2,0.0,2,False,False,123,sin_control,False,False,5
48,9990,0,3,7,3512,637,4149,54029,22.7,7.2,5,False,False,123,sin_control,False,False,5
49,9990,0,2,8,3571,625,4196,55295,21.7,2.0,5,False,False,123,sin_control,False,False,5
50,9990,0,2,8,3600,622,4222,60930,20.6,10.9,10,False,False,123,sin_control,False,False,5
51,9990,0,2,8,3699,644,4343,60889,20.8,1.2,10,False,False,123,sin_control,False,False,5
52,9990,0,2,8,3839,633,4472,61211,22.5,0.0,8,False,False,123,sin_control,False,False,5
53,9990,0,2,8,3887,632,4520,66510,22.8,5.8,10,False,False,123,sin_control,False,False,5
54,9990,0,1,9,4097,623,4721,71185,21.4,16.4,18,False,False,123,sin_control,False,False,5
55,9989,1,1,9,4260,604,4865,76394,21.5,7.8,21,False,False,123,sin_control,False,False,5
56,9988,2,0,10,4434,609,5044,81982,22.8,0.0,18,False,False,123,sin_control,False,False,5
57,9988,2,0,10,4774,699,5474,86740,20.5,49.0,42,False,False,123,sin_control,False,False,5
58,9989,2,0,9,5134,684,5819,91737,20.5,8.9,41,False,False,123,sin_control,False,False,5
59,9989,1,1,9,5460,675,6136,97272,21.3,8.3,45,False,False,123,sin_control,False,False,5
60,9989,0,2,9,5937,672,6610,98067,20.0,18.6,54,False,False,123,sin_control,False,False,5
61,9989,0,2,9,6378,665,7044,100682,20.5,8.3,56,False,False,123,sin_control,False,False,5
62,9989,0,2,9,6826,665,7491,108914,20.6,5.0,50,False,False,123,sin_control,False,False,5
63,9989,0,2,9,7384,676,8060,117019,21.6,0.8,47,False,False,123,sin_control,False,False,5
64,9989,0,2,9,7967,682,8649,127069,20.7,5.1,49,False,False,123,sin_control,False,False,5
65,9989,0,2,9,7413,632,8045,134537,20.2,14.0,32,False,False,123,sin_control,False,False,5
66,9989,0,2,9,7869,636,8505,140546,20.4,3.3,28,False,False,123,sin_control,False,False,5
67,9989,0,1,10,8456,639,9095,146963,21.8,0.0,24,False,False,123,sin_control,False,False,5
68,9988,1,0,11,9049,631,9680,155596,21.1,0.0,15,False,False,123,sin_control,False,False,5
69,9988,1,0,11,9562,641,10203,164387,22.1,4.1,11,False,False,123,sin_control,False,False,5
70,9989,1,0,10,10177,636,10813,175439,21.1,11.0,14,False,False,123,sin_control,False,False,5
71,9988,2,0,10,10765,653,11418,184755,21.4,0.8,14,False,False,123,sin_control,False,False,5
