,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,123,lsm,True,False,6
1,9998,0,2,0,1858,2788,4646,16872,21.5,2.3,0,False,False,123,lsm,True,False,6
2,9998,0,2,0,1719,2575,4294,24184,22.3,0.0,0,False,False,123,lsm,True,False,6
3,9998,0,2,0,1571,2380,3951,28180,22.3,0.0,0,False,False,123,lsm,True,False,6
4,9997,1,2,0,1445,2212,3658,29453,21.8,0.0,0,False,False,123,lsm,True,False,6
5,9995,3,2,0,1339,2033,3373,29745,21.6,0.0,0,False,False,123,lsm,True,False,6
6,9995,3,2,0,1233,1876,3110,29444,19.5,0.2,0,False,False,123,lsm,True,False,6
7,9995,3,2,0,1137,1731,2869,11731,20.1,1.7,0,True,False,123,lsm,True,False,6
8,9995,2,1,2,1062,1601,2664,16167,21.8,0.3,0,True,False,123,lsm,True,False,6
9,9995,0,3,2,952,1486,2438,18103,21.7,0.0,0,True,False,123,lsm,True,False,6
10,9995,0,3,2,878,1369,2247,18722,21.0,0.0,0,True,False,123,lsm,True,False,6
11,9995,0,3,2,815,1274,2089,17797,19.8,7.2,3,True,False,123,lsm,True,False,6
12,9995,0,3,2,765,1181,1946,20818,21.2,8.0,7,True,False,123,lsm,True,False,6
13,9995,0,3,2,698,1098,1796,22136,20.1,5.1,9,True,False,123,lsm,True,False,6
14,9995,0,3,2,645,1023,1668,9798,20.6,3.5,9,True,False,123,lsm,True,False,6
15,9995,0,3,2,602,948,1550,13562,21.0,1.7,9,True,False,123,lsm,True,False,6
16,9995,0,2,3,567,877,1444,16547,20.8,3.8,9,True,False,123,lsm,True,False,6
17,9995,0,0,5,523,817,1340,18907,21.9,0.5,9,True,False,123,lsm,True,False,6
18,9994,1,0,5,505,759,1264,18327,21.3,0.3,9,True,False,123,lsm,True,False,6
19,9994,1,0,5,486,710,1196,18672,21.9,0.1,6,True,False,123,lsm,True,False,6
20,9994,1,0,5,457,659,1116,14959,24.0,0.0,2,True,False,123,lsm,True,False,6
21,9994,1,0,5,446,626,1072,5361,23.1,0.3,0,True,False,123,lsm,True,False,6
22,9993,1,1,5,437,584,1021,6547,21.4,1.6,0,True,False,123,lsm,True,False,6
23,9993,1,1,5,425,550,975,7055,22.8,0.0,0,True,False,123,lsm,True,False,6
24,9993,1,1,5,413,517,930,7133,21.2,3.8,0,True,False,123,lsm,True,False,6
25,9993,1,1,5,394,480,874,6747,22.3,0.0,0,True,False,123,lsm,True,False,6
