,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,123,ambas,True,True,8
1,9998,0,2,0,1858,2788,4646,16872,21.5,2.3,0,False,True,123,ambas,True,True,8
2,9998,0,2,0,1593,2379,3972,24259,22.3,0.0,0,False,True,123,ambas,True,True,8
3,9998,0,2,0,1367,2033,3400,26376,22.3,0.0,0,False,True,123,ambas,True,True,8
4,9997,1,2,0,1156,1728,2884,25839,21.8,0.0,0,False,True,123,ambas,True,True,8
5,9997,1,2,0,995,1447,2442,23855,21.6,0.0,0,False,True,123,ambas,True,True,8
6,9997,1,2,0,871,1250,2121,22187,19.5,0.2,0,False,True,123,ambas,True,True,8
7,9997,1,2,0,734,1063,1797,8213,20.1,1.7,0,True,True,123,ambas,True,True,8
8,9997,0,1,2,612,894,1506,9580,21.8,0.3,0,True,True,123,ambas,True,True,8
9,9997,0,1,2,521,754,1275,10065,21.7,0.0,0,True,True,123,ambas,True,True,8
10,9997,0,1,2,435,642,1077,10098,21.0,0.0,0,True,True,123,ambas,True,True,8
11,9997,0,1,2,382,540,922,9051,19.8,7.2,3,True,True,123,ambas,True,True,8
12,9997,0,1,2,326,469,795,9729,21.2,8.0,7,True,True,123,ambas,True,True,8
13,9997,0,1,2,283,397,680,10004,20.1,5.1,9,True,True,123,ambas,True,True,8
14,9997,0,1,2,225,340,565,4348,20.6,3.5,9,True,True,123,ambas,True,True,8
15,9997,0,1,2,191,288,479,5250,21.0,1.7,9,True,True,123,ambas,True,True,8
16,9997,0,0,3,171,243,414,5925,20.8,3.8,9,True,True,123,ambas,True,True,8
17,9997,0,0,3,157,211,368,6420,21.9,0.5,9,True,True,123,ambas,True,True,8
18,9996,1,0,3,147,190,337,6075,21.3,0.3,9,True,True,123,ambas,True,True,8
19,9996,1,0,3,141,157,298,5426,21.9,0.1,6,True,True,123,ambas,True,True,8
20,9996,1,0,3,124,140,264,4313,24.0,0.0,2,True,True,123,ambas,True,True,8
21,9996,1,0,3,122,123,245,1586,23.1,0.3,0,True,True,123,ambas,True,True,8
22,9996,0,1,3,106,107,213,1767,21.4,1.6,0,True,True,123,ambas,True,True,8
23,9996,0,1,3,97,77,174,1730,22.8,0.0,0,True,True,123,ambas,True,True,8
24,9996,0,1,3,85,71,156,1537,21.2,3.8,0,True,True,123,ambas,True,True,8
25,9996,0,1,3,76,62,138,1418,22.3,0.0,0,True,True,123,ambas,True,True,8
26,9996,0,1,3,69,140,209,1787,22.4,52.3,26,True,True,123,ambas,True,True,8
27,9996,0,1,3,66,116,182,2094,22.4,0.0,26,True,True,123,ambas,True,True,8
28,9996,0,1,3,63,115,178,1083,21.3,24.9,38,True,True,123,ambas,True,True,8
29,9996,0,1,3,53,99,152,1239,21.2,0.0,38,True,True,123,ambas,True,True,8
30,9996,0,0,4,50,87,137,1607,19.9,8.1,42,True,True,123,ambas,True,True,8
31,9996,0,0,4,43,77,120,1892,21.1,0.0,42,True,True,123,ambas,True,True,8
32,9996,0,0,4,36,68,104,1837,21.1,0.4,42,True,True,123,ambas,True,True,8
33,9996,0,0,4,29,58,87,1781,23.0,0.0,42,True,True,123,ambas,True,True,8
34,9997,0,0,3,32,51,83,1769,22.4,0.0,16,True,True,123,ambas,True,True,8
35,9997,0,0,3,34,45,79,668,21.6,9.9,20,True,True,123,ambas,True,True,8
36,9997,0,0,3,32,36,68,683,21.2,0.8,8,True,True,123,ambas,True,True,8
37,9997,0,0,3,35,114,149,1099,20.1,50.0,33,True,True,123,ambas,True,True,8
38,9997,0,0,3,36,105,141,1523,19.9,7.5,32,True,True,123,ambas,True,True,8
39,9997,0,0,3,24,89,113,1690,19.6,21.2,42,True,True,123,ambas,True,True,8
40,9997,0,0,3,23,76,99,2005,21.3,0.0,42,True,True,123,ambas,True,True,8
41,9997,0,0,3,28,69,97,2171,21.0,2.4,42,True,True,123,ambas,True,True,8
42,9997,0,0,3,27,53,80,815,22.8,0.0,42,True,True,123,ambas,True,True,8
43,9997,0,0,3,32,47,79,910,22.9,0.0,38,True,True,123,ambas,True,True,8
44,9997,0,0,3,35,39,74,1097,20.7,5.5,40,True,True,123,ambas,True,True,8
45,9997,0,0,3,34,33,67,1171,21.7,2.0,15,True,True,123,ambas,True,True,8
46,9997,0,0,3,33,26,59,1125,21.2,1.0,12,True,True,123,ambas,True,True,8
47,9997,0,0,3,26,21,47,1015,23.2,0.0,2,True,True,123,ambas,True,True,8
48,9997,0,0,3,24,22,46,957,22.7,7.2,5,True,True,123,ambas,True,True,8
49,9997,0,0,3,18,19,37,327,21.7,2.0,5,True,True,123,ambas,True,True,8
50,9997,0,0,3,14,17,31,376,20.6,10.9,10,True,True,123,ambas,True,True,8
51,9997,0,0,3,20,15,35,310,20.8,1.2,10,True,True,123,ambas,True,True,8
52,9997,0,0,3,20,18,38,336,22.5,0.0,8,True,True,123,ambas,True,True,8
53,9997,0,0,3,18,15,33,489,22.8,5.8,10,True,True,123,ambas,True,True,8
54,9997,0,0,3,17,15,32,580,21.4,16.4,18,True,True,123,ambas,True,True,8
55,9997,0,0,3,16,13,29,540,21.5,7.8,21,True,True,123,ambas,True,True,8
56,9997,0,0,3,16,12,28,300,22.8,0.0,18,True,True,123,ambas,True,True,8
