,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,456,itn_irs,False,True,11
1,9997,1,2,0,1852,2751,4603,16040,21.5,2.3,0,False,True,456,itn_irs,False,True,11
2,9997,1,2,0,1576,2309,3885,23266,22.3,0.0,0,False,True,456,itn_irs,False,True,11
3,9997,1,2,0,1358,1947,3305,24964,22.3,0.0,0,False,True,456,itn_irs,False,True,11
4,9997,1,2,0,1160,1643,2803,23958,21.8,0.0,0,False,True,456,itn_irs,False,True,11
5,9997,0,3,0,990,1388,2378,22563,21.6,0.0,0,False,True,456,itn_irs,False,True,11
6,9997,0,3,0,842,1176,2018,20682,19.5,0.2,0,False,True,456,itn_irs,False,True,11
7,9997,0,3,0,723,1000,1723,17851,20.1,1.7,0,False,True,456,itn_irs,False,True,11
8,9997,0,1,2,597,845,1442,15219,21.8,0.3,0,False,True,456,itn_irs,False,True,11
9,9997,0,1,2,511,710,1221,13058,21.7,0.0,0,False,True,456,itn_irs,False,True,11
10,9997,0,1,2,416,582,998,11690,21.0,0.0,0,False,True,456,itn_irs,False,True,11
11,9996,1,1,2,355,510,865,10248,19.8,7.2,3,False,True,456,itn_irs,False,True,11
12,9996,1,1,2,278,419,697,10188,21.2,8.0,7,False,True,456,itn_irs,False,True,11
13,9996,1,0,3,237,348,585,9512,20.1,5.1,9,False,True,456,itn_irs,False,True,11
14,9997,1,0,2,195,292,487,9025,20.6,3.5,9,False,True,456,itn_irs,False,True,11
15,9997,0,1,2,170,240,410,9028,21.0,1.7,9,False,True,456,itn_irs,False,True,11
16,9997,0,1,2,183,218,401,9056,20.8,3.8,9,False,True,456,itn_irs,False,True,11
17,9997,0,1,2,197,194,391,8948,21.9,0.5,9,False,True,456,itn_irs,False,True,11
18,9997,0,1,2,220,173,393,8270,21.3,0.3,9,False,True,456,itn_irs,False,True,11
19,9997,0,1,2,235,157,392,7638,21.9,0.1,6,False,True,456,itn_irs,False,True,11
20,9997,0,1,2,267,144,411,6033,24.0,0.0,2,False,True,456,itn_irs,False,True,11
21,9997,0,1,2,321,139,460,5339,23.1,0.3,0,False,True,456,itn_irs,False,True,11
22,9997,0,1,2,325,124,449,4447,21.4,1.6,0,False,True,456,itn_irs,False,True,11
23,9997,0,0,3,321,112,433,4143,22.8,0.0,0,False,True,456,itn_irs,False,True,11
24,9997,0,0,3,315,103,418,4083,21.2,3.8,0,False,True,456,itn_irs,False,True,11
25,9997,0,0,3,298,91,389,3749,22.3,0.0,0,False,True,456,itn_irs,False,True,11
26,9996,1,0,3,269,166,435,4221,22.4,52.3,26,False,True,456,itn_irs,False,True,11
27,9996,1,0,3,248,131,379,4483,22.4,0.0,26,False,True,456,itn_irs,False,True,11
28,9996,1,0,3,235,128,363,4804,21.3,24.9,38,False,True,456,itn_irs,False,True,11
29,9996,1,0,3,211,102,313,5277,21.2,0.0,38,False,True,456,itn_irs,False,True,11
30,9996,0,1,3,194,87,281,5325,19.9,8.1,42,False,True,456,itn_irs,False,True,11
31,9996,0,1,3,184,75,259,5371,21.1,0.0,42,False,True,456,itn_irs,False,True,11
32,9996,0,1,3,180,67,247,5489,21.1,0.4,42,False,True,456,itn_irs,False,True,11
33,9996,0,1,3,161,58,219,5213,23.0,0.0,42,False,True,456,itn_irs,False,True,11
34,9996,0,1,3,166,52,218,5340,22.4,0.0,16,False,True,456,itn_irs,False,True,11
