,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,LSM_Activo,ITN_IRS_Activo
0,95,0,5,0,198,2,200,50,25.0,0.0,False,False
1,95,0,5,0,198,2,200,150,23.28248545394741,0.0,False,False
2,94,1,5,0,198,2,200,250,22.971723859018756,0.0,False,False
3,94,1,5,0,198,2,200,750,22.01274958816245,0.0,False,False
4,94,1,5,0,198,2,200,1150,23.487612327669513,17.356372088506877,False,False
5,94,1,5,0,198,2,200,1950,22.068324966334536,0.0,False,False
6,94,0,1,5,198,2,200,2450,23.25625129670868,0.0,False,False
7,94,0,1,5,198,2,200,3050,23.13475476782234,0.0,False,False
8,94,0,1,5,198,2,200,3450,22.5057380517066,35.262874163519925,False,False
9,94,0,1,5,198,2,200,4150,22.5188263848423,21.631013414667063,False,False
10,94,0,1,5,198,2,200,4950,21.921851268903335,0.0,False,False
11,94,0,1,5,197,3,200,5650,23.882517019322044,0.0,False,False
12,94,0,0,6,197,3,200,6350,22.042151818454112,0.0,False,False
13,94,0,0,6,197,3,200,7050,22.16747746592712,15.192101291147848,False,False
14,94,0,0,6,197,3,200,7650,22.43576452253882,33.61753803063173,False,False
15,94,0,0,6,197,3,200,8250,21.866178733449086,45.86565831876768,False,False
16,94,0,0,6,197,3,200,8950,23.58827992113917,40.305417315711495,False,False
17,94,0,0,6,197,3,200,9650,24.07456231196382,0.0,False,False
18,93,1,0,6,197,3,200,10250,23.57943452739484,0.0,False,False
19,93,1,0,6,197,3,200,10850,22.293295806162348,0.0,False,False
20,93,1,0,6,197,3,200,11350,24.67968654560988,0.0,False,False
21,93,1,0,6,197,3,200,12050,24.579730405291333,0.0,False,False
22,93,0,1,6,197,3,200,12450,24.920955504902697,0.0,False,False
23,93,0,1,6,197,3,200,12850,24.635575172883012,0.0,False,False
24,93,0,1,6,197,3,200,13150,23.2259474793549,0.0,False,False
25,93,0,1,6,197,3,200,13450,23.232366550535637,20.0454579005052,False,False
26,93,0,1,6,197,3,200,13650,23.382050722699947,0.0,False,False
27,93,0,1,6,197,3,200,13950,23.6083392480271,0.0,False,False
28,93,0,0,7,197,3,200,14150,23.625273938789277,36.46687503584976,False,False
29,93,0,0,7,197,3,200,14350,25.102947926395135,0.0,False,False
30,93,0,0,7,197,3,200,14550,23.475292978177993,0.0,False,False
