,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo
0,2991,0,9,0,1494,6,1500,50,25.0,0.0,0,False,False
1,2989,2,9,0,1494,6,1500,50,21.5,2.3,0,False,False
2,2987,4,9,0,1492,8,1500,50,22.3,0.0,0,False,False
3,2985,6,9,0,1492,8,1500,12244,22.3,0.0,0,False,False
4,2983,8,9,0,1490,10,1500,17002,21.8,0.0,0,False,False
5,2980,9,11,0,1490,10,1500,18718,21.6,0.0,0,False,False
6,2978,11,2,9,1490,10,1500,25920,19.5,0.2,0,False,False
7,2975,11,5,9,1490,10,1500,30730,20.1,1.7,0,False,False
8,2974,10,7,9,1489,11,1500,33694,21.8,0.3,0,False,False
9,2971,10,10,9,1488,12,1500,38946,21.7,0.0,0,False,False
10,2968,10,13,9,1486,14,1500,43132,21.0,0.0,0,False,False
11,2965,11,13,11,1485,15,1500,46148,19.8,7.2,3,False,False
12,2962,12,15,11,1485,15,1500,50828,21.2,8.0,7,False,False
13,2961,10,15,14,1484,16,1500,54286,20.1,5.1,9,False,False
14,2959,11,14,16,1483,17,1500,56834,20.6,3.5,9,False,False
15,2956,12,13,19,1533,17,1550,60372,21.0,1.7,9,False,False
16,2953,10,15,22,1528,22,1550,63492,20.8,3.8,9,False,False
17,2949,13,14,24,1528,22,1550,66560,21.9,0.5,6,False,False
18,2947,14,13,26,13706,38,13744,57772,21.3,0.3,2,False,False
19,2947,10,14,29,18442,60,18502,55302,21.9,0.1,0,False,False
20,2942,12,16,30,20122,96,20218,245752,24.0,0.0,0,False,False
21,2941,9,18,32,32075,155,32230,360672,23.1,0.3,0,False,False
22,2937,11,15,37,34996,198,35194,424242,21.4,1.6,0,False,False
23,2936,11,15,38,40198,248,40446,732316,22.8,0.0,0,False,False
24,2936,8,17,39,44331,301,44632,940446,21.2,3.8,0,False,False
25,2935,7,15,43,47289,359,47648,1124942,22.3,0.0,0,False,False
26,2933,8,13,46,51916,412,52328,1439022,22.4,52.3,26,False,False
27,2931,5,14,50,55368,418,55786,1680120,22.4,0.0,26,False,False
28,2928,8,12,52,57859,475,58334,1929148,21.3,24.9,38,False,False
29,2920,16,11,53,61383,539,61922,2258022,21.2,0.0,38,False,False
30,2911,23,10,56,64464,578,65042,2516254,19.9,8.1,42,False,False
